student_id,full_name,email,gender,date_of_birth,student_number,institution_id
162f3c93-e5b4-4589-af40-214d7678a94f,Terrance Wintheiser,Kari_Connelly16@yahoo.com,Male,1995-03-16,S-0094731,7dbc10ab-0852-439e-83b1-53d722f7c97a
e6437ad3-a710-4c5d-b95c-e2c3dfd2bbfb,Susan Dooley,Montana.Russel@hotmail.com,Female,1988-04-23,S-9361988,7ee41877-b38f-4f11-a3d1-7fdec89d3e82
46943787-a86b-4556-b871-9495a7d8166e,Lynn Bergnaum,Marcella63@gmail.com,Other,1997-07-18,S-2854319,4567496f-a048-4746-adb1-4af186c1e6bc
6aa8a1fe-aa20-4175-a664-28266d96109b,Lucas MacGyver,Derrick_Bauch@hotmail.com,Female,2000-01-24,S-4104120,4567496f-a048-4746-adb1-4af186c1e6bc
456ec1ff-e14e-4f28-9f14-3efb5c44eeb3,Fernando Maggio,Sydney.Franey@hotmail.com,Other,2005-03-05,S-5722905,7dbc10ab-0852-439e-83b1-53d722f7c97a
a1b67ddf-1520-4e9d-b5cd-f3c6eef2b109,Carlos Ward,Electa80@hotmail.com,Other,1988-03-16,S-2148853,6f47f7e5-b40c-4901-baf5-ba6221a92bee
400f00e4-f478-4eff-915c-0e0b2344c212,Jana Hamill Sr.,Dannie_Keebler35@gmail.com,Male,2002-09-13,S-8301554,01db7d29-cc0e-4725-87ed-e38f76ee7ec9
dd008e99-f281-4b3a-8c4c-aaf3f12e8d6a,Alison Glover,Twila_Hand55@gmail.com,Female,1993-09-01,S-7430929,7ee41877-b38f-4f11-a3d1-7fdec89d3e82
94c6e202-d07c-4448-b5b4-6322980297b0,Melody Rath,Edd_Bashirian-Gleichner@gmail.com,Other,1987-01-02,S-5400239,714e1604-99d8-42cc-8de3-985c4cc966d0
a5564628-9f9d-40ca-ac5b-eb4f564a04f7,Lee Lemke,Winona_Flatley@yahoo.com,Other,1997-11-08,S-0732278,7ee41877-b38f-4f11-a3d1-7fdec89d3e82
20b42ef0-d90f-4b1d-a115-3cd6d9d9341b,Molly Nader-Jacobi,Athena.Smith50@hotmail.com,Other,1990-05-23,S-1608536,ada44028-a7f4-4317-8546-792c412aacda
59ab1bd0-c570-478f-9a9c-951498270363,Mamie Schowalter,Lula39@yahoo.com,Other,1986-04-05,S-3598163,01db7d29-cc0e-4725-87ed-e38f76ee7ec9
4d467df3-f82b-47ef-a58a-b66ad56dd86e,Dawn Littel MD,Dante55@gmail.com,Other,2000-09-05,S-5522909,4567496f-a048-4746-adb1-4af186c1e6bc
f74464b2-3227-48aa-8a85-e6666390e45a,Alonzo Nader,Duncan89@yahoo.com,Other,2005-03-19,S-8847868,c24c1c1d-7d21-4d3a-ac43-3283edb5405a
407631c6-2aa7-49ac-bca1-e1c0f317ac40,Carlos Tromp,Kris_Hintz66@yahoo.com,Other,1982-06-13,S-9021354,6f47f7e5-b40c-4901-baf5-ba6221a92bee
9cf25f7d-3b19-4897-91ff-bd01cb2fe48d,Eunice Fahey-Dare,Dasia_Hane36@gmail.com,Other,1999-06-20,S-6787635,714e1604-99d8-42cc-8de3-985c4cc966d0
3bf3dff1-3792-4965-b656-57e14dbacf5f,Irma Nicolas,Dee48@gmail.com,Male,1995-04-14,S-8964735,714e1604-99d8-42cc-8de3-985c4cc966d0
6e8ed315-9f97-42ce-99f3-2b3461be75fe,Ernesto Stracke,Misael.Goyette@gmail.com,Male,1998-02-26,S-7601994,4567496f-a048-4746-adb1-4af186c1e6bc
8f5b2d2c-ecd8-49f8-b93c-7bb44506a08a,Tasha Hilpert,Veda_Harris@gmail.com,Female,2006-10-20,S-9599802,4567496f-a048-4746-adb1-4af186c1e6bc
cf528840-3fec-4efb-86a2-10c1aa5659f0,Diana Gleichner,Ceasar_Lynch@yahoo.com,Male,1988-08-26,S-8695002,5ef0ec5c-9492-48ff-866f-7096b41f0695
4f4ee7f1-72e4-41eb-999c-ec25856010fd,Emmett Connelly,Eleazar69@yahoo.com,Female,1997-04-24,S-1773522,6f47f7e5-b40c-4901-baf5-ba6221a92bee
c979ff97-3edd-44b1-9802-68e7b95bc325,Rachael Stroman,Arnaldo_Abshire@hotmail.com,Other,2002-10-03,S-7160737,714e1604-99d8-42cc-8de3-985c4cc966d0
e126fa1b-de5b-4c60-aa6a-fab0e6b364fa,Frankie Barrows,Aurelia32@yahoo.com,Female,1981-07-07,S-4159285,6f47f7e5-b40c-4901-baf5-ba6221a92bee
d7fbff4c-00f8-438d-a1a3-70213dc5c3e5,Ms. Ellen Batz,Kaitlyn_Hansen@yahoo.com,Female,2004-03-08,S-7229640,223bee81-6611-47c6-8053-0d05cfe70504
4db2e9df-b016-4c73-a785-e809a92f53b7,Lillian Jenkins,Louvenia_Reinger96@hotmail.com,Male,2003-09-02,S-5730732,01db7d29-cc0e-4725-87ed-e38f76ee7ec9
da5fa18e-6581-42ad-a2ad-d2ec893ef41c,Patty Friesen,Vince_Smith@gmail.com,Other,1992-03-25,S-6401914,714e1604-99d8-42cc-8de3-985c4cc966d0
8adcfbf5-f901-4dd7-80cf-84f634b01c52,Carole Rau,Tracy73@yahoo.com,Male,1987-02-06,S-6546740,4567496f-a048-4746-adb1-4af186c1e6bc
48c4f2cb-10be-4a74-9a57-115a0d50cec5,Derrick Rosenbaum,Evans.Bosco4@gmail.com,Other,1987-01-11,S-3897140,ada44028-a7f4-4317-8546-792c412aacda
9eab3c1b-5e6b-4b22-9505-3d24045038cc,Cody Kozey,Jamarcus.OConner@gmail.com,Male,1982-10-31,S-6968023,01db7d29-cc0e-4725-87ed-e38f76ee7ec9
